sub_industry,industry,sector
Ship Boxes,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Ship Brokers,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
"Ship Builders, Repairs & Fittings",Transportation Equipment Manufacturing,Manufacturing
Ship Chartering Services,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Ship Owner,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shippercarrier Platform,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shipping,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shipping & Forwarding,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shipping Agents & Overseas Removals/moving And Storage Services,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shipping Brokerage,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shipping Containers,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shipping Management Training,Professional Training and Coaching,Education
Ships Agency,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Shirt Designer & Maker,Apparel Manufacturing,Manufacturing
Shirtmakers,Apparel Manufacturing,Manufacturing
Shoe Repair Services,Repair and Maintenance,Consumer Services
Shoe/footwear Shops,Retail Apparel and Fashion,Retail
Shop Cleaning,Facilities Services,Administrative and Support Services
Shop Concepts,Business Consulting and Services,Professional Services
Shop Fitting Manufacturers,Building Construction,Construction
Shop Fronts,Building Construction,Construction
Shopfitters,Specialty Trade Contractors,Construction
Shopping,Retail Apparel and Fashion,Retail
Shopping Centres,Real Estate,Real Estate and Equipment Rental Services
Short Term Care Facilities,Nursing Homes and Residential Care Facilities,Hospitals and Health Care
Short Term Storage,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Shower Units & Accessories,Retail Building Materials and Garden Equipment,Retail
Shredding Equipment & Services,Office Administration,Administrative and Support Services
Sign & Poster Writers,Advertising Services,Professional Services
Sign Erectors,Specialty Trade Contractors,Construction
Sign Makers' Equipment & Materials,Machinery Manufacturing,Manufacturing
Signage,Advertising Services,Professional Services
Signs & Nameplates,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Silicones,Chemical Manufacturing,Manufacturing
Silk Manufacturers & Wholesalers,Textile Manufacturing,Manufacturing
Simulation Modelling,IT Services and IT Consulting,Professional Services
Single Cask Malt Whsiky,Food and Beverage Manufacturing,Manufacturing
Single Malt Whisky,Food and Beverage Manufacturing,Manufacturing
Single Malt Whisky & Distillation,Food and Beverage Manufacturing,Manufacturing
Single Portions,Food and Beverage Manufacturing,Manufacturing
Site Investigation,Engineering Services,Professional Services
Site Investigation Consultants,Engineering Services,Professional Services
Skates & Skateboarding,Sporting Goods Manufacturing,Manufacturing
Skating Rinks,Recreational Facilities,Entertainment Providers
Skewers,Food and Beverage Manufacturing,Manufacturing
Skiing Equipment,Sporting Goods Manufacturing,Manufacturing
Skincare & Natural Remedies,Retail Health and Personal Care Products,Retail
Skip Hire,Environmental Quality Programs,Government Administration
Skip Hire & Rubbish Clearance & Collection,Environmental Quality Programs,Government Administration
Skylights & Rooflights,Building Construction,Construction
Slate Products,Mining,"Oil, Gas, and Mining"
"Slimming Clubs, Products And Services",Medical Practices,Hospitals and Health Care
Slot Machines,Recreational Facilities,Entertainment Providers
Slow-roasted Rotisserie Options,Food and Beverage Manufacturing,Manufacturing
Smart Green Hubs & Logistics,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Smartphone & Tablet Repairs,Repair and Maintenance,Consumer Services
Smile Cosmetics,Retail Health and Personal Care Products,Retail
Smoking and Tobacco,Tobacco Manufacturing,Manufacturing
Snack food,Food and Beverage Manufacturing,Manufacturing
Snack Foods,Food and Beverage Manufacturing,Manufacturing
Social Enterprise,Civic and Social Organizations,Consumer Services
Social Entrepreneurship,Business Consulting and Services,Professional Services
Social Impact,Civic and Social Organizations,Consumer Services
Social Media,Media and Telecommunications,"Technology, Information and Media"
Social Media Training,Professional Training and Coaching,Education
Social Services Organizations,Civic and Social Organizations,Consumer Services
Soft Commodity,Farming,"Farming, Ranching, Forestry"
Soft Drinks,Food and Beverage Manufacturing,Manufacturing
Soft Drinks - Distributors,Wholesale Food and Beverage,Wholesale
Soft Drinks - Manufacturers,Food and Beverage Manufacturing,Manufacturing
Soft Furnishings - Manufacturers & Suppliers,Furniture and Home Furnishings Manufacturing,Manufacturing
Soft Tissue Surgery,Medical Practices,Hospitals and Health Care
Software & Services,IT Services and IT Consulting,Professional Services
Software Development,IT Services and IT Consulting,Professional Services
Solar Energy Equipment,Climate Technology Products Manufacturing,Manufacturing
Solar Packing Solution,Plastics and Rubber Product Manufacturing,Manufacturing
Solar Panel,Climate Technology Products Manufacturing,Manufacturing
Solar Panel Installers,Specialty Trade Contractors,Construction
Solar Thermal,Electric Power Generation,Utilities
Solariums & Tanning Salons,Personal and Laundry Services,Consumer Services
Solicitors - Accident And Personal Injury,Legal Services,Professional Services
Solicitors- Family,Legal Services,Professional Services
Solicitors/lawyers,Legal Services,Professional Services
Solid Wall Insulation,Building Construction,Construction
Sound Equipment Hire & Installation,Equipment Rental Services,Real Estate and Equipment Rental Services
Sound Equipment Systems Manufacturers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Soundproofing,Building Construction,Construction
Sourdough Pizza,Food and Beverage Services,Accommodation Services
Spanish Restaurants,Food and Beverage Services,Accommodation Services
Spare Parts,Wholesale Motor Vehicles and Parts,Wholesale
Spas,Personal and Laundry Services,Consumer Services
Specialist Distribution,Wholesale Import and Export,Wholesale
Specialist Food Retailer,Food and Beverage Retail,Retail
Specialist Haulage,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Speech & Language Therapists,Health and Human Services,Government Administration
Speech & Language Therapy,Health and Human Services,Government Administration
Speech Writers,Writing and Editing,Administrative and Support Services
Speed Report,IT Services and IT Consulting,Professional Services
Spinal Surgery,Medical Practices,Hospitals and Health Care
Spirits & Mixers,Wholesale Alcoholic Beverages,Wholesale
Sponsoring,Advertising Services,Professional Services
Sports & Leisure Activities Schools,Technical and Vocational Training,Education
Sports Clubs & Associations,Civic and Social Organizations,Consumer Services
Sports Equipment Manufacturers & Distributors,Sporting Goods Manufacturing,Manufacturing
Sports Equipment Repairs,Repair and Maintenance,Consumer Services
Sports Equipment Specialists,Sporting Goods Manufacturing,Manufacturing
Sports Events,Performing Arts and Spectator Sports,Entertainment Providers
Sports Goods Store,Retail Health and Personal Care Products,Retail
Sports Ground And Stadium Contractor,Building Construction,Construction
Sports Grounds & Stadiums,Performing Arts and Spectator Sports,Entertainment Providers
Sports Injury Clinics,Medical Practices,Hospitals and Health Care
Sports Management & Promotion,Performing Arts and Spectator Sports,Entertainment Providers
Sports Nutrition,Food and Beverage Manufacturing,Manufacturing
Sports Nutrition Supplements,Food and Beverage Manufacturing,Manufacturing
Sports Psychologist,Individual and Family Services,Hospitals and Health Care
Sportsground & Gymnasium Equipment,Sporting Goods Manufacturing,Manufacturing
Spray Painting And Coating,Specialty Trade Contractors,Construction
Spring Manufacturers & Distributors,Fabricated Metal Products,Manufacturing
Spring Water,Food and Beverage Manufacturing,Manufacturing
Squash Courts,Recreational Facilities,Entertainment Providers
Stag & Hen Parties,Events Services,Administrative and Support Services
Stage Lighting,Performing Arts and Spectator Sports,Entertainment Providers
Stained Glass Designers & Producers,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Stainless Steel,Primary Metal Manufacturing,Manufacturing
Stainless Steel Manufacturers,Primary Metal Manufacturing,Manufacturing
Stainless Steel Stockholders,Wholesale Metals and Minerals,Wholesale
Stainless Steel Welding Fabrications,Fabricated Metal Products,Manufacturing
Stainlesss Steel Fasteners,"Wholesale Hardware, Plumbing, Heating Equipment",Wholesale
"Staircase, Balustrade & Handrail Manufacturers",Building Construction,Construction
Stamp Dealers,Retail Office Supplies and Gifts,Retail
Stamping Nail Art Image Plates,Apparel Manufacturing,Manufacturing
Startups Utilizing The Most Effective Online Solutions,Business Consulting and Services,Professional Services
Stationery - Wholesale,Wholesale Paper Products,Wholesale
Stationery Manufacturers,Paper and Forest Product Manufacturing,Manufacturing
Stationery Suppliers,Retail Office Supplies and Gifts,Retail
Steam Cleaning Services,Personal and Laundry Services,Consumer Services
Steel Buildings,Building Construction,Construction
"Steel Fabricators And Erectors Manufacturers, Suppliers, Exporters",Fabricated Metal Products,Manufacturing
Steel Manufacturers,Primary Metal Manufacturing,Manufacturing
Steel Stockholders,Wholesale Metals and Minerals,Wholesale
Stem Cell Fat Transfer,Medical Practices,Hospitals and Health Care
Stevedoring Services,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Stock Brokers,Capital Markets,Financial Services
Stockholder Of Hygienic Tube,Plastics and Rubber Product Manufacturing,Manufacturing
Stockist & Suppliers Plastics,Plastics and Rubber Product Manufacturing,Manufacturing
Stocktaking And Inventory Services,Business Consulting and Services,Professional Services
Stone Manufacturers & Oem Manufacturers,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Stone Merchants,Wholesale Building Materials,Wholesale
Stone Restoration Services,Specialty Trade Contractors,Construction
Stonemasonry/ Stonecraft,Building Construction,Construction
Storage,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Storage & Shelving Systems Manufacturers,Furniture and Home Furnishings Manufacturing,Manufacturing
Storage Container Rentals,Equipment Rental Services,Real Estate and Equipment Rental Services
Storage Distribution,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Storage Equipment,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Storage Facility Services,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Storage Heaters,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Storage Products,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Storage Trolley,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Storage Trolleys,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Store & Display Fixtures,Retail Office Supplies and Gifts,Retail
Strategic Plans,Business Consulting and Services,Professional Services
Strategic Procurement,Business Consulting and Services,Professional Services
Strategic Sourcing,Business Consulting and Services,Professional Services
Strategy Activation,Business Consulting and Services,Professional Services
Strategy Development,Business Consulting and Services,Professional Services
Streaming Media,Media and Telecommunications,"Technology, Information and Media"
Strengthening Midwives Associations,Civic and Social Organizations,Consumer Services
Stress Management,Medical Practices,Hospitals and Health Care
Structural Consultants,Engineering Services,Professional Services
Structural Engineering,Engineering Services,Professional Services
Student Accommodation,Real Estate,Real Estate and Equipment Rental Services
Subscription Businesses,Online and Mail Order Retail,Retail
Sugar Refiners & Suppliers,Food and Beverage Manufacturing,Manufacturing
Sunbed Hire/equipment Rental Agencies,Equipment Rental Services,Real Estate and Equipment Rental Services
Sunday Roast,Food and Beverage Services,Accommodation Services
Sunroofs & Vinyl Tops,Transportation Equipment Manufacturing,Manufacturing
Super Seeds,Farming,"Farming, Ranching, Forestry"
Supermarket,Food and Beverage Retail,Retail
Supermarkets,Food and Beverage Retail,Retail
Supper Clubs,Food and Beverage Services,Accommodation Services
Supplier Diversity,Business Consulting and Services,Professional Services
Supplier Relationship,Business Consulting and Services,Professional Services
Supply Chain Management,Business Consulting and Services,Professional Services
Surgical Appliances & Equipment,Medical Equipment Manufacturing,Manufacturing
Surplus Stores,Retail Recyclable Materials & Used Merchandise,Retail
Surveying Instruments & Equipment,Equipment Rental Services,Real Estate and Equipment Rental Services
Surveyors - Boat & Yacht,Engineering Services,Professional Services
Surveyors - Building,Engineering Services,Professional Services
Surveyors - Land,Engineering Services,Professional Services
Surveyors & Valuers,Real Estate,Real Estate and Equipment Rental Services
Suspended Ceiling Systems,Specialty Trade Contractors,Construction
Sustainability,Environmental Quality Programs,Government Administration
Sustainable Fashion,Apparel Manufacturing,Manufacturing
Sustainable Fishing,Ranching and Fisheries,"Farming, Ranching, Forestry"
Sustainable Food Procurement,Food and Beverage Manufacturing,Manufacturing
"Swimming Pool Contractors, Repair & Service",Specialty Trade Contractors,Construction
Swimming Pool Equipment & Supplies,Wholesale Building Materials,Wholesale
Swimming Tuition/tutors,Technical and Vocational Training,Education
Systems & Process Improvement,Business Consulting and Services,Professional Services
T-Shirt Printing,Printing Services,Manufacturing
T-Shirts,Apparel Manufacturing,Manufacturing
Tableware,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Tactical Apparel & Gear,Apparel Manufacturing,Manufacturing
Tailors,Personal and Laundry Services,Consumer Services
Take Away Food Shops,Food and Beverage Services,Accommodation Services
Talent Acquisition Software,IT Services and IT Consulting,Professional Services
Tandheelkunde Paard,Veterinary Services,Professional Services
Tank Cleaning & Repairing,Repair and Maintenance,Consumer Services
Tank Container Rental,Equipment Rental Services,Real Estate and Equipment Rental Services
Tank Suppliers & Installers,Building Construction,Construction
"Tanks, Vats And Cisterns","Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Tapes - Industrial,Plastics and Rubber Product Manufacturing,Manufacturing
"Tartans, Kilts & Accessories",Apparel Manufacturing,Manufacturing
Tattoo Removal,Personal and Laundry Services,Consumer Services
Tattooing & Piercing,Personal and Laundry Services,Consumer Services
Tax Advice,Accounting,Professional Services
Tax Services,Accounting,Professional Services
Taxi,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Taxi Equipment Supplies,Wholesale Machinery,Wholesale
Taxis & Private Hire/taxi Services,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Tea & Coffee Merchants,Wholesale Food and Beverage,Wholesale
Tea Blending,Food and Beverage Manufacturing,Manufacturing
Teacher Education,Higher Education,Education
Teaching And Sports Coaching,Professional Training and Coaching,Education
Team Building Events,Events Services,Administrative and Support Services
Team Dynamics,Business Consulting and Services,Professional Services
Team Support,Office Administration,Administrative and Support Services
Teatment Of Heavy Metal Contamination,Environmental Quality Programs,Government Administration
Technical & Agricultural Colleges,Technical and Vocational Training,Education
Technical & Commercial Illustrators,Artists and Writers,Entertainment Providers
Technical & Commercial Writers,Writing and Editing,Administrative and Support Services
Technical Rescue,Security and Investigations,Administrative and Support Services
Technical Transport,Transportation Equipment Manufacturing,Manufacturing
Technology,"Technology, Information and Internet","Technology, Information and Media"
Tefl Training Courses,Professional Training and Coaching,Education
Telecommunication Services,Media and Telecommunications,"Technology, Information and Media"
Telecommunications Engineers,Engineering Services,Professional Services
Telecommunications Equipment & Systems,Computers and Electronics Manufacturing,Manufacturing
Telemarketing,Telephone Call Centers,Administrative and Support Services
Telephone Answering & Message Services,Office Administration,Administrative and Support Services
Teleradiology,Hospitals,Hospitals and Health Care
Telescopic Boom Conveyors,Machinery Manufacturing,Manufacturing
Television & Radio Aerials Suppliers And Erectors,"Wholesale Appliances, Electrical, and Electronics",Wholesale
Television & Video Manufacturers & Wholesalers,"Wholesale Appliances, Electrical, and Electronics",Wholesale
Television & Video Rental,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Television And Radio Production Services,Media and Telecommunications,"Technology, Information and Media"
Television Wall Mounts,"Retail Appliances, Electrical, and Electronic Equipment",Retail
"Television, Video & Radio Shops","Retail Appliances, Electrical, and Electronic Equipment",Retail
"Television, Video & Teletext Rental","Retail Appliances, Electrical, and Electronic Equipment",Retail
"Television, Video, & Radio Servicing, Repairs Installation",Repair and Maintenance,Consumer Services
Temperature Controlled Food Distribution,Food and Beverage Services,Accommodation Services
Temperature Controlled Storage,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Temperature Monitoring Systems Manufacturers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Temporary Buildings,Building Construction,Construction
Temporary Drivers,Staffing and Recruiting,Administrative and Support Services
Temporary Fencing,Building Construction,Construction
Temporary Recruitment,Staffing and Recruiting,Administrative and Support Services
Tender Management,Business Consulting and Services,Professional Services
Tendons,Health and Human Services,Government Administration
Tennis Courts,Recreational Facilities,Entertainment Providers
Tent Manufacturers,Textile Manufacturing,Manufacturing
Test Tube Manufacturing,Medical Equipment Manufacturing,Manufacturing
"Testing, Inspection & Calibration Equipment Manufacturers",Research Services,Professional Services
Textile Designers,Design Services,Professional Services
Textile Manufacturing,Textile Manufacturing,Manufacturing
Textile Merchants And Agents,Wholesale Apparel and Sewing Supplies,Wholesale
Textile Recycling & Retail,Retail Apparel and Fashion,Retail
Textiles Apparel & Luxury Goods,Retail Apparel and Fashion,Retail
Thai Restaurants,Food and Beverage Services,Accommodation Services
Thatching & Conservation Crafts,Specialty Trade Contractors,Construction
Theatre Companies,Performing Arts and Spectator Sports,Entertainment Providers
Theatre Costumes,Apparel Manufacturing,Manufacturing
Theatrical Agencies,Performing Arts and Spectator Sports,Entertainment Providers
Theme Parks,Recreational Facilities,Entertainment Providers
Thermal Imaging,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Thermal Management,Engineering Services,Professional Services
Thermometers & Thermostats,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Third Party Logistics,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Third-Party Logistics,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Ticket Agencies,Travel Arrangements,Administrative and Support Services
Ties & Neckwear,Apparel Manufacturing,Manufacturing
Tile & Flooring Restoration,Repair and Maintenance,Consumer Services
Tile Manufacturers,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Tile Stockists/stores,Retail Building Materials and Garden Equipment,Retail
Timber,Forestry and Logging,"Farming, Ranching, Forestry"
Timber Framed Buildings,Building Construction,Construction
"Timber Merchants, Importers & Agents",Wholesale Building Materials,Wholesale
Timber Preservation,Wood Product Manufacturing,Manufacturing
Timber Windows & Doors,Wood Product Manufacturing,Manufacturing
Time Critical,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Time Critical Deliveries,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Time Recorder,Office Administration,Administrative and Support Services
Timeshare Accommodation,Hospitality,Accommodation Services
Titanium Alloys,Primary Metal Manufacturing,Manufacturing
Toastmasters,Professional Training and Coaching,Education
Tobacco & Cigarette - Importers & Distributors,Wholesale Import and Export,Wholesale
Tobacco Manufacturing,Tobacco Manufacturing,Manufacturing
Tobacco Shops/cigarette Retailers,Retail Health and Personal Care Products,Retail
Tobacco Suppliers,Tobacco Manufacturing,Manufacturing
Tobacconists & Confectioners - Wholesale,Wholesale Food and Beverage,Wholesale
Toiletries/personal Care,Retail Health and Personal Care Products,Retail
Toilets - Portable,Retail Building Materials and Garden Equipment,Retail
Toll Processing,Business Consulting and Services,Professional Services
Tonic Water,Food and Beverage Manufacturing,Manufacturing
Tool & Equipment Hire,Equipment Rental Services,Real Estate and Equipment Rental Services
"Tool Design, Manufacturers & Makers","Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Tool Merchants/stores,Retail Building Materials and Garden Equipment,Retail
"Tool Sharpening, Repairing & Servicing",Repair and Maintenance,Consumer Services
Top Quality Butchery,Food and Beverage Retail,Retail
Total Waste Management,Environmental Quality Programs,Government Administration
Tour & Sightseeing Excursions,Travel Arrangements,Administrative and Support Services
Tour Operators,Travel Arrangements,Administrative and Support Services
Touring Exhibitions,"Museums, Historical Sites, and Zoos",Entertainment Providers
Tourist Information,Travel Arrangements,Administrative and Support Services
Towbars,Transportation Equipment Manufacturing,Manufacturing
Towel Supply & Washroom Services,Personal and Laundry Services,Consumer Services
Towing,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Town Planning Consultants,Architecture and Planning,Professional Services
Toy Libraries,Community Services,Hospitals and Health Care
Toy Shops,Retail Office Supplies and Gifts,Retail
Toys & Subscription Service,Online and Mail Order Retail,Retail
"Toys, Games & Sporting Goods",Retail Office Supplies and Gifts,Retail
"Toys, Games & Sporting Goods - Manufacturers",Sporting Goods Manufacturing,Manufacturing
Track Trace Software,IT Services and IT Consulting,Professional Services
Tracking For Magnums,Security and Investigations,Administrative and Support Services
Traction Provider & Storage & Handling,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Trade Association,Civic and Social Organizations,Consumer Services
Trade Mark Agents,Legal Services,Professional Services
Trade Plate Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Trade Show,Events Services,Administrative and Support Services
Trade Unions,Civic and Social Organizations,Consumer Services
Trading,Capital Markets,Financial Services
Traditional Ales,Food and Beverage Manufacturing,Manufacturing
Traditional Spanish Fine Meats & Dinner Kits,Food and Beverage Manufacturing,Manufacturing
Traffic Management Systems,Engineering Services,Professional Services
Trailer Rental Services,Equipment Rental Services,Real Estate and Equipment Rental Services
Trailers & Towing Equipment,Transportation Equipment Manufacturing,Manufacturing
Train Stations & Information,Rail Transportation,"Transportation, Logistics, Supply Chain and Storage"
Training & Development,Professional Training and Coaching,Education
Training & Education,Professional Training and Coaching,Education
Training Academy,Professional Training and Coaching,Education
Training Centres,Professional Training and Coaching,Education
Training Consultants,Professional Training and Coaching,Education
Training Services,Professional Training and Coaching,Education
Transfer Station,Environmental Quality Programs,Government Administration
Transformation,Business Consulting and Services,Professional Services
Transformer Manufacturers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Transition Management,Business Consulting and Services,Professional Services
Translators & Interpreters,Translation and Localization,Administrative and Support Services
Transmission Repair,Repair and Maintenance,Consumer Services
Transport,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Transport Compliance,Business Consulting and Services,Professional Services
Transport Equipment Manufacturers,Transportation Equipment Manufacturing,Manufacturing
Transport Maritime,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Transport Provider,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Transportation,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Transportation Air,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Transportation Infrastructure,Civil Engineering,Construction
Transportation Management,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Transportation Planning & Consultancy Services,Business Consulting and Services,Professional Services
Transporting Horses,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Transporting Of Computer Equipment,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Travel Agent,Travel Arrangements,Administrative and Support Services
Travel Agents & Holiday Companies,Travel Arrangements,Administrative and Support Services
Travel Guides,Travel Arrangements,Administrative and Support Services
Tree Work & Forestry Services,Forestry and Logging,"Farming, Ranching, Forestry"
Trichologists,Health and Human Services,Government Administration
Trimmers & Trimmings,Apparel Manufacturing,Manufacturing
Trolleys & Barrows,Transportation Equipment Manufacturing,Manufacturing
"Trophies, Medals & Rosettes",Sporting Goods Manufacturing,Manufacturing
Truck,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Truck Assembler,Transportation Equipment Manufacturing,Manufacturing
Truck Load,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Truck Wash,Repair and Maintenance,Consumer Services
Trucking logistics,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Trucking Railroads,Rail Transportation,"Transportation, Logistics, Supply Chain and Storage"
Truckload,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Truffles,Food and Beverage Manufacturing,Manufacturing
Tube & Tube Fittings,"Wholesale Hardware, Plumbing, Heating Equipment",Wholesale
Tube Bending,Fabricated Metal Products,Manufacturing
Tubular Lead Acid Batteries For Forklifts,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Tubular Stockyard,Wholesale Metals and Minerals,Wholesale
Tug & Towing Services,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Tui Cruises,Hospitality,Accommodation Services
Tunnelling Labour Supplier,Staffing and Recruiting,Administrative and Support Services
Turbine Manufacturers,Machinery Manufacturing,Manufacturing
Turbo Chargers,Transportation Equipment Manufacturing,Manufacturing
Turbo Technology,"Technology, Information and Internet","Technology, Information and Media"
Turf & Soil Contractors & Supplies,Building Construction,Construction
Turkish Restaurants,Food and Beverage Services,Accommodation Services
Tv Catering,Food and Beverage Services,Accommodation Services
TV Licensing,Media and Telecommunications,"Technology, Information and Media"
Typesetters,Printing Services,Manufacturing
Typewriter Dealers,Retail Office Equipment,Retail
Tyre Dealer/shop,Retail Motor Vehicles,Retail
Tyre Manufacturers & Distributors,Transportation Equipment Manufacturing,Manufacturing
Tyre Manufacturing Equipments,Machinery Manufacturing,Manufacturing
Tyre Repairs & Retreading,Repair and Maintenance,Consumer Services
Tyre Wholesalers,Wholesale Motor Vehicles and Parts,Wholesale
Tyres,Transportation Equipment Manufacturing,Manufacturing
Ultrasonic Equipment Manufacturers,Machinery Manufacturing,Manufacturing
Ultrasonography,Medical Practices,Hospitals and Health Care
Ultrasound,Medical Equipment Manufacturing,Manufacturing
Umbrellas & Walking Sticks,Apparel Manufacturing,Manufacturing
Uncategorised,Uncategorised,Uncategorised
Under Floor Heating,Building Construction,Construction
Underpinning & Foundation Engineers,Engineering Services,Professional Services
Underwriters,Insurance,Financial Services
Unfined Beers,Food and Beverage Manufacturing,Manufacturing
Uniforms & Staff Wear,Apparel Manufacturing,Manufacturing
Unit Trust Brokers & Managers,Capital Markets,Financial Services
Universities & Medical Schools,Higher Education,Education
University & Educational Institutions,Higher Education,Education
Upholsterers Supplies,Wholesale Furniture and Home Furnishings,Wholesale
Upholstery Manufacturers,Furniture and Home Furnishings Manufacturing,Manufacturing
Urban Clothing,Apparel Manufacturing,Manufacturing
Urban Courier,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Urban Nature Conservation,Environmental Quality Programs,Government Administration
Urinalysis,Medical Practices,Hospitals and Health Care
Used Car Dealerships,Retail Motor Vehicles,Retail
Used Home & Office Furniture,Retail Furniture and Home Furnishings,Retail
Utility Brokers,Business Consulting and Services,Professional Services
Vaccinations,Medical Practices,Hospitals and Health Care
Vacuum Cleaners - Sales & Service,"Retail Appliances, Electrical, and Electronic Equipment",Retail
"Vacuum Cleaners, Industrial & Commercial","Retail Appliances, Electrical, and Electronic Equipment",Retail
"Vacuum Cleaners, Industrial & Commercial - Manufacturers & Distributors","Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Valet Services,Personal and Laundry Services,Consumer Services
Valuation/rating Surveyor,Real Estate,Real Estate and Equipment Rental Services
Value Added Sea Foods,Food and Beverage Manufacturing,Manufacturing
Valuers - Antiques & Jewellery,Retail Luxury Goods and Jewelry,Retail
Valuers - General,Real Estate,Real Estate and Equipment Rental Services
Valve Manufacturers & Suppliers,Fabricated Metal Products,Manufacturing
Van,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Van & Truck Hire/rental,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Vegetables,Farming,"Farming, Ranching, Forestry"
Vegetarian Restaurants,Food and Beverage Services,Accommodation Services
Vehicle,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Vehicle & Motorcycle Packing,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Vehicle Auctions,Retail Motor Vehicles,Retail
Vehicle Breakdown Cover,Insurance,Financial Services
Vehicle Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Vehicle Electronics & Electrical Systems,Computers and Electronics Manufacturing,Manufacturing
Vehicle Escorts,Security and Investigations,Administrative and Support Services
Vehicle Fleet Management Consultants,Business Consulting and Services,Professional Services
Vehicle Flooring & Vehicle Acoustics,Plastics and Rubber Product Manufacturing,Manufacturing
Vehicle Glass Repair & Replacement & Adas Calibration,Repair and Maintenance,Consumer Services
Vehicle Hire,Equipment Rental Services,Real Estate and Equipment Rental Services
Vehicle Inspection Services,Repair and Maintenance,Consumer Services
Vehicle Manufacturing,Transportation Equipment Manufacturing,Manufacturing
